"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1132","Test 3","webkit","2026-04-05","passed","2026-04-05","","Reporters.spec.js","",""
"","1","User can login with valid credentials","chromium","2026-04-05","failed","2026-04-05","Authentication Tests - ONLY THIS BLOCK RUNS","Annotations.spec.js","",""
"","3065","Test 1","webkit","2026-04-05","passed","2026-04-05","","Reporters.spec.js","",""
"","650","Test 2","webkit","2026-04-05","passed","2026-04-05","","Reporters.spec.js","",""
"","29","FOCUSED TEST - Only this test will run","chromium","2026-04-05","failed","2026-04-05","","Annotations.spec.js","",""
"","528","Test 2","firefox","2026-04-05","passed","2026-04-05","","Reporters.spec.js","",""
"","28","FOCUSED TEST - Only this test will run","firefox","2026-04-05","failed","2026-04-05","","Annotations.spec.js","",""
"","1333","Test 3","chromium","2026-04-05","passed","2026-04-05","","Reporters.spec.js","",""
"","1","User cannot login with invalid password","chromium","2026-04-05","failed","2026-04-05","Authentication Tests - ONLY THIS BLOCK RUNS","Annotations.spec.js","",""
"","1","User cannot login with invalid password","webkit","2026-04-05","failed","2026-04-05","Authentication Tests - ONLY THIS BLOCK RUNS","Annotations.spec.js","",""
"","50","Grouping Testing cases2","chromium","2026-04-05","failed","2026-04-05","Group 1","Grouping.spec.js","",""
"","49","Grouping Testing cases2","webkit","2026-04-05","failed","2026-04-05","Group 1","Grouping.spec.js","",""
"","1","User can login with valid credentials","firefox","2026-04-05","failed","2026-04-05","Authentication Tests - ONLY THIS BLOCK RUNS","Annotations.spec.js","",""
"","44","Grouping Testing cases","chromium","2026-04-05","failed","2026-04-05","Group 1","Grouping.spec.js","",""
"","517","Test 2","chromium","2026-04-05","passed","2026-04-05","","Reporters.spec.js","",""
"","1850","Test 1","chromium","2026-04-05","passed","2026-04-05","","Reporters.spec.js","",""
"","46","Grouping Testing cases","webkit","2026-04-05","failed","2026-04-05","Group 1","Grouping.spec.js","",""
"","1","User can login with valid credentials","webkit","2026-04-05","failed","2026-04-05","Authentication Tests - ONLY THIS BLOCK RUNS","Annotations.spec.js","",""
"","46","Grouping Testing cases","firefox","2026-04-05","failed","2026-04-05","Group 1","Grouping.spec.js","",""
"","1828","Test 1","firefox","2026-04-05","passed","2026-04-05","","Reporters.spec.js","",""
"","1","Grouping Testing cases2","firefox","2026-04-05","failed","2026-04-05","Group 1","Grouping.spec.js","",""
"","844","Test 3","firefox","2026-04-05","passed","2026-04-05","","Reporters.spec.js","",""
"","22","User cannot login with invalid password","firefox","2026-04-05","failed","2026-04-05","Authentication Tests - ONLY THIS BLOCK RUNS","Annotations.spec.js","",""
"","1","FOCUSED TEST - Only this test will run","webkit","2026-04-05","failed","2026-04-05","","Annotations.spec.js","",""
